,season,city,team1,team2,venue
0,2017,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal"
1,2017,Pune,Mumbai Indians,Rising Pune Supergiant,Maharashtra Cricket Association Stadium
2,2017,Rajkot,Gujarat Lions,Kolkata Knight Riders,Saurashtra Cricket Association Stadium
3,2017,Indore,Rising Pune Supergiant,Kings XI Punjab,Holkar Cricket Stadium
4,2017,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium
5,2017,Hyderabad,Gujarat Lions,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
6,2017,Mumbai,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium
7,2017,Indore,Royal Challengers Bangalore,Kings XI Punjab,Holkar Cricket Stadium
8,2017,Pune,Delhi Daredevils,Rising Pune Supergiant,Maharashtra Cricket Association Stadium
9,2017,Mumbai,Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium
10,2017,Kolkata,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens
11,2017,Bangalore,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium
12,2017,Rajkot,Rising Pune Supergiant,Gujarat Lions,Saurashtra Cricket Association Stadium
13,2017,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens
14,2017,Delhi,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla
15,2017,Mumbai,Gujarat Lions,Mumbai Indians,Wankhede Stadium
16,2017,Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,M Chinnaswamy Stadium
17,2017,Delhi,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla
18,2017,Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal"
19,2017,Rajkot,Royal Challengers Bangalore,Gujarat Lions,Saurashtra Cricket Association Stadium
20,2017,Hyderabad,Sunrisers Hyderabad,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal"
21,2017,Indore,Kings XI Punjab,Mumbai Indians,Holkar Cricket Stadium
22,2017,Kolkata,Kolkata Knight Riders,Gujarat Lions,Eden Gardens
23,2017,Mumbai,Mumbai Indians,Delhi Daredevils,Wankhede Stadium
24,2017,Pune,Sunrisers Hyderabad,Rising Pune Supergiant,Maharashtra Cricket Association Stadium
25,2017,Rajkot,Kings XI Punjab,Gujarat Lions,Saurashtra Cricket Association Stadium
26,2017,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens
